Process;Activity;Task;Involved stakeholders;Input;Output;Technology/ Equipment;Technology's maturity;Skills;Skills' maturity;Practices
Empathization;Observe;Communicate;NA;NA;NA;NA;NA;NA;NA;NA
Empathization;Observe;Search/Understand the problem;NA;NA;NA;NA;NA;NA;NA;NA
Empathization;Identify;Analyse conscious and unconscious user needs;NA;NA;NA;NA;NA;NA;NA;NA
Empathization;Identify;Identify designing constraints;NA;NA;NA;NA;NA;NA;NA;NA
Manufacturing;Check the feasibility of the specification;NA;"1) Designer
2) Technical staff LF2L";"CAD
Material
Machine";"Validation of feasibility
Eventual identification of unvalidated specifications";"PC,
Software machine
Software CAD";Mature;"CAD knowledge
Knowledge Software machine parameters
";Emerging;"1) Estimate the time
2) Definition of technology
3) Material compatibility
4) Cost estimation"
Manufacturing;Provide a technical assistance;NA;Technical staff LF2L;Technical Issue;Fix and/or improvement machine production;"Tools mechanical
Electrical tools
Spare parts
Machine Information";Emerging;Polyvalence on technical background;Emerging;"Determination of the cause of the issue
Validate the diagnostic
Search for information of the issue
"
Manufacturing;Identify the manufacturing, assembly operations from the instructions (drawings, bill of material…);NA;"Designer
Technical staff LF2L";"Bill of materials
CAD assembly
Electrical connections
Software requirements";Identification of assembly steps;PC;Emerging;"Interpretation of Bill of material
Construction, make adjustment to the BOM
Technical drawing";Emerging;1) Conformity with the order
Manufacturing;Select materials and components for manufacturing;NA;"Designer
Technical staff LF2L";Desing requirements;Desicion = Yes or Not;"PC
Software simulatino";Emerging;"CAD knowledge
Knowledge Software machine parameters
Manufacturing tunning";Emerging;"1) Experimentation
2) Technical Experience"
Manufacturing;Build up the stock of raw materials and components;NA;NA;NA;NA;NA;NA;NA;NA;NA
Manufacturing;Manufacture the product/component;NA;Technical staff LF2L;"CAD
Material
Machine
Energy";"Recycled printed product
Recycled injected product";"3D printer
Manual Injection machine
Laser-cut
Sofware modelling";Emerging;"3D and 2D modelization
Parameter tunning";Emerging;"1) Establish good configuration of the machine
2) Adjust printer / injectino parameters
3)Supervision of machine"
Manufacturing;Carry out the finishes of a work;NA;Technical staff LF2L;"Printed part
Injection part";Part with improvements in finished adjustments;"Cutter
sandpapers
small knife
Rotatory tools";Mature;Manual skills;Mature;"1) Manual adjust of printed part
2) remove excedent material"
Manufacturing;Check the stability, the dimension of the product;NA;Designer;finished part;"real dimension
Conformity validation";"Metrology tools
PC";Mature;"Knowledge metrology
Analysis of data";Mature;"1) Compare the real value with theoretical valus ffrom CAD
2) Identify major difference"
Packaging;Package the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Packaging;Check the conformity of the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Packaging;Label the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Packaging;Transport products to shipping area;NA;NA;NA;NA;NA;NA;NA;NA;NA
Handling;Ship products;NA;NA;NA;NA;NA;NA;NA;NA;NA
Handling;Sort and distribute products according to the indication;NA;NA;NA;NA;NA;NA;NA;NA;NA
Handling;Move the product to the storage area;NA;NA;NA;NA;NA;NA;NA;NA;NA
Handling;Unload products;NA;NA;NA;NA;NA;NA;NA;NA;NA
Transport;Define a route according to delivery instructions;NA;NA;NA;NA;NA;NA;NA;NA;NA
Transport;Organize the transfer and delivery of the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sales;Receive the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sales;Check the conformity of the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sales;Store the product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sales;Receive the payment;NA;NA;NA;NA;NA;NA;NA;NA;NA
Order Preparation;Pick materials according to the order preparation instructions;NA;NA;NA;NA;NA;NA;NA;NA;NA
Order Preparation;Ship the package;NA;NA;NA;NA;NA;NA;NA;NA;NA
Order Preparation;Transport goods to the shipping areas;NA;NA;NA;NA;NA;NA;NA;NA;NA
Order Preparation;Inform the order tracking and transmit a status of product;NA;NA;NA;NA;NA;NA;NA;NA;NA
Assembly;Identify assembly operations from instruction;NA;NA;NA;NA;NA;NA;NA;NA;NA
Assembly;Position the part preliminary;NA;NA;NA;NA;NA;NA;NA;NA;NA
